param,value,baseline,go_around,ga_ambiguous,low_approach,touch_and_go,approaches,ga_total
LEVEL_GA_MAX_S,20.0,True,132,16,79,1302,6721,148
LEVEL_GA_MAX_S,15.0,False,116,32,79,1302,6721,148
LEVEL_GA_MAX_S,25.0,False,139,9,79,1302,6721,148
LEVEL_LOWAPP_MIN_S,30.0,True,132,16,79,1302,6721,148
LEVEL_LOWAPP_MIN_S,25.0,False,132,7,88,1302,6721,139
LEVEL_LOWAPP_MIN_S,35.0,False,132,25,70,1302,6721,157
GA_ALT_REGAIN_FT,250.0,True,132,16,79,1302,6721,148
GA_ALT_REGAIN_FT,200.0,False,133,18,84,1302,6721,151
GA_ALT_REGAIN_FT,300.0,False,131,16,77,1302,6721,147
GA_CLIMB_VRATE_FPM,300.0,True,132,16,79,1302,6721,148
GA_CLIMB_VRATE_FPM,200.0,False,144,13,76,1302,6721,157
GA_CLIMB_VRATE_FPM,400.0,False,102,21,94,1299,6721,123
TOUCHDOWN_PLATEAU_MIN_S,20.0,True,132,16,79,1302,6721,148
TOUCHDOWN_PLATEAU_MIN_S,15.0,False,104,13,76,1341,6721,117
TOUCHDOWN_PLATEAU_MIN_S,25.0,False,142,19,80,1287,6721,161
PLATEAU_BAND_FT,60.0,True,132,16,79,1302,6721,148
PLATEAU_BAND_FT,50.0,False,132,16,79,1302,6721,148
PLATEAU_BAND_FT,75.0,False,99,12,85,1334,6721,111
GA_MAX_LOW_AGL_FT,1000.0,True,132,16,79,1302,6721,148
GA_MAX_LOW_AGL_FT,800.0,False,132,16,79,1302,6721,148
GA_MAX_LOW_AGL_FT,1200.0,False,132,16,79,1302,6721,148
